text,label
Hay sangrado en la herida,symptom_alert
Recordatorio de medicación a las ocho de la noche,reminder_medication
Cuéntame un chiste corto,smalltalk
Hay sangrado en la herida,symptom_alert
Hay sangrado en la herida,symptom_alert
¿Cómo está el clima?,smalltalk
¿Cómo está el clima?,smalltalk
Me siento contento hoy,mood
No me dejes olvidar el enalapril a las 7,reminder_medication
Ando un poco ansioso y preocupado,mood
¿Cómo está el clima?,smalltalk
Me siento contento hoy,mood
No me dejes olvidar el enalapril a las 7,reminder_medication
Estoy triste esta tarde,mood
¿Cómo está el clima?,smalltalk
Estoy triste esta tarde,mood
Ando un poco ansioso y preocupado,mood
Reservar turno médico para el lunes por la tarde,appointment
Hay sangrado en la herida,symptom_alert
Cuéntame un chiste corto,smalltalk
No me dejes olvidar el enalapril a las 7,reminder_medication
Recuérdame tomar la pastilla a las 9am,reminder_medication
Casi me desmayo hace un rato,symptom_alert
No me dejes olvidar el enalapril a las 7,reminder_medication
Hay sangrado en la herida,symptom_alert
Reservar turno médico para el lunes por la tarde,appointment
Ando un poco ansioso y preocupado,mood
Recuérdame tomar la pastilla a las 9am,reminder_medication
¿Cómo está el clima?,smalltalk
Agenda cita con el doctor mañana a las 10,appointment
Cuéntame un chiste corto,smalltalk
Recuérdame tomar la pastilla a las 9am,reminder_medication
Ando un poco ansioso y preocupado,mood
Tengo mareo y dolor de pecho,symptom_alert
Ando un poco ansioso y preocupado,mood
Ando un poco ansioso y preocupado,mood
No me dejes olvidar el enalapril a las 7,reminder_medication
Ando un poco ansioso y preocupado,mood
Reservar turno médico para el lunes por la tarde,appointment
Pon una música suave,smalltalk
Estoy triste esta tarde,mood
No me dejes olvidar el enalapril a las 7,reminder_medication
Hay sangrado en la herida,symptom_alert
¿Cómo está el clima?,smalltalk
Me siento contento hoy,mood
Agenda cita con el doctor mañana a las 10,appointment
No me dejes olvidar el enalapril a las 7,reminder_medication
Estoy triste esta tarde,mood
Recuérdame tomar la pastilla a las 9am,reminder_medication
Agenda cita con el doctor mañana a las 10,appointment
Recuérdame tomar la pastilla a las 9am,reminder_medication
Pon una música suave,smalltalk
Casi me desmayo hace un rato,symptom_alert
Cuéntame un chiste corto,smalltalk
¿Cómo está el clima?,smalltalk
Reservar turno médico para el lunes por la tarde,appointment
Cuéntame un chiste corto,smalltalk
Cuéntame un chiste corto,smalltalk
Hay sangrado en la herida,symptom_alert
Me siento contento hoy,mood
Ando un poco ansioso y preocupado,mood
Recordatorio de medicación a las ocho de la noche,reminder_medication
Pon una música suave,smalltalk
Me siento contento hoy,mood
Agenda cita con el doctor mañana a las 10,appointment
Me siento contento hoy,mood
Programa odontólogo el viernes,appointment
Programa odontólogo el viernes,appointment
Tengo mareo y dolor de pecho,symptom_alert
Recuérdame tomar la pastilla a las 9am,reminder_medication
Agenda cita con el doctor mañana a las 10,appointment
Pon una música suave,smalltalk
Pon una música suave,smalltalk
Recuérdame tomar la pastilla a las 9am,reminder_medication
No me dejes olvidar el enalapril a las 7,reminder_medication
Reservar turno médico para el lunes por la tarde,appointment
¿Cómo está el clima?,smalltalk
Tengo mareo y dolor de pecho,symptom_alert
Me siento contento hoy,mood
No me dejes olvidar el enalapril a las 7,reminder_medication
Recuérdame tomar la pastilla a las 9am,reminder_medication
Reservar turno médico para el lunes por la tarde,appointment
Recordatorio de medicación a las ocho de la noche,reminder_medication
Reservar turno médico para el lunes por la tarde,appointment
No me dejes olvidar el enalapril a las 7,reminder_medication
No me dejes olvidar el enalapril a las 7,reminder_medication
Casi me desmayo hace un rato,symptom_alert
Recordatorio de medicación a las ocho de la noche,reminder_medication
Recuérdame tomar la pastilla a las 9am,reminder_medication
No me dejes olvidar el enalapril a las 7,reminder_medication
Estoy triste esta tarde,mood
Tengo mareo y dolor de pecho,symptom_alert
No me dejes olvidar el enalapril a las 7,reminder_medication
