text,label
Me cuesta respirar por ansiedad,anxious
Estoy triste y sin ganas,sad
"Estoy bien, gracias",neutral
Estoy feliz y tranquilo,happy
Estoy feliz y tranquilo,happy
Estoy triste y sin ganas,sad
Me siento solo,lonely
Me siento animado hoy,happy
Todo tranquilo,neutral
Tengo nervios,anxious
No tengo con quién hablar,lonely
Me siento desanimado,sad
Me siento animado hoy,happy
Me siento desanimado,sad
Me siento normal,neutral
Me siento solo,lonely
Estoy ansioso y preocupado,anxious
Qué alegría verte,happy
Qué alegría verte,happy
No tengo con quién hablar,lonely
Estoy triste y sin ganas,sad
Echo de menos a mi familia,lonely
Estoy ansioso y preocupado,anxious
Estoy feliz y tranquilo,happy
Me siento normal,neutral
Estoy feliz y tranquilo,happy
Echo de menos a mi familia,lonely
Me cuesta respirar por ansiedad,anxious
Estoy triste y sin ganas,sad
"Estoy bien, gracias",neutral
Me entristece estar solo,sad
No tengo con quién hablar,lonely
No tengo con quién hablar,lonely
No tengo con quién hablar,lonely
Tengo nervios,anxious
No tengo con quién hablar,lonely
Me entristece estar solo,sad
Me siento normal,neutral
Me siento animado hoy,happy
Tengo nervios,anxious
Qué alegría verte,happy
Me siento desanimado,sad
Me siento normal,neutral
No tengo con quién hablar,lonely
Me cuesta respirar por ansiedad,anxious
Me siento solo,lonely
Qué alegría verte,happy
Estoy feliz y tranquilo,happy
Estoy triste y sin ganas,sad
Me siento animado hoy,happy
Me siento animado hoy,happy
Estoy ansioso y preocupado,anxious
Me entristece estar solo,sad
Echo de menos a mi familia,lonely
"Estoy bien, gracias",neutral
Todo tranquilo,neutral
Qué alegría verte,happy
Qué alegría verte,happy
Todo tranquilo,neutral
Qué alegría verte,happy
Me siento solo,lonely
Me cuesta respirar por ansiedad,anxious
"Estoy bien, gracias",neutral
Echo de menos a mi familia,lonely
Todo tranquilo,neutral
Estoy triste y sin ganas,sad
Qué alegría verte,happy
Me siento desanimado,sad
Todo tranquilo,neutral
Tengo nervios,anxious
Me siento animado hoy,happy
Tengo nervios,anxious
Echo de menos a mi familia,lonely
Me siento solo,lonely
Me entristece estar solo,sad
Estoy triste y sin ganas,sad
Me cuesta respirar por ansiedad,anxious
Estoy ansioso y preocupado,anxious
Me siento animado hoy,happy
Me siento solo,lonely
No tengo con quién hablar,lonely
Qué alegría verte,happy
Me siento desanimado,sad
Me siento solo,lonely
"Estoy bien, gracias",neutral
Echo de menos a mi familia,lonely
Estoy feliz y tranquilo,happy
Me siento solo,lonely
Estoy feliz y tranquilo,happy
Todo tranquilo,neutral
Me entristece estar solo,sad
Estoy ansioso y preocupado,anxious
Todo tranquilo,neutral
Estoy ansioso y preocupado,anxious
Echo de menos a mi familia,lonely
Estoy feliz y tranquilo,happy
Todo tranquilo,neutral
No tengo con quién hablar,lonely
Me cuesta respirar por ansiedad,anxious
